,Unnamed: 0.1,Unnamed: 0,session_id,Utterance ID,Role,Content,Human,AI
0,0,0,01801e36-4f2a-019c-fc9a-1680ed023af8,0.0,TEACHER,hello! how can i help?,None,None
1,1,1,01801e36-4f2a-019c-fc9a-1680ed023af8,1.0,STUDENT_1,doing geometry.,None,None
2,2,2,01801e36-4f2a-019c-fc9a-1680ed023af8,2.0,STUDENT_1,m<4=108 degrees looking for the other 3,None,None
3,3,3,01801e36-4f2a-019c-fc9a-1680ed023af8,3.0,TEACHER,which one is m<4?,None,None
4,4,4,01801e36-4f2a-019c-fc9a-1680ed023af8,4.0,TEACHER,and are the two lines next to each other parallel?,None,None
5,5,5,01801e36-4f2a-019c-fc9a-1680ed023af8,5.0,STUDENT_1,this is it,None,None
6,6,6,01801e36-4f2a-019c-fc9a-1680ed023af8,6.0,TEACHER,"oh, okay",None,None
7,7,7,01801e36-4f2a-019c-fc9a-1680ed023af8,7.0,TEACHER,so for angles next to each other (such as 4 and 2) they would both add up to 180 degrees,None,Scaffolding
8,8,8,01801e36-4f2a-019c-fc9a-1680ed023af8,8.0,STUDENT_1,ok,None,None
9,9,9,01801e36-4f2a-019c-fc9a-1680ed023af8,9.0,TEACHER,and for angles across from each other (like 4 and 1) they are the same degrees,None,Scaffolding
10,10,10,01801e36-4f2a-019c-fc9a-1680ed023af8,10.0,TEACHER,"and for 3 you would follow similar to the first time, as angles 3 and 4 are next to each other",None,Scaffolding
11,11,11,01801e36-4f2a-019c-fc9a-1680ed023af8,11.0,STUDENT_1,"so both 3,1 is 72?",None,None
12,12,12,01801e36-4f2a-019c-fc9a-1680ed023af8,12.0,TEACHER,"angle 1 would be 71 degrees, but not angle 3",Scaffolding,Building on student responses
13,13,13,01801e36-4f2a-019c-fc9a-1680ed023af8,13.0,TEACHER,*sorry 72 degrees,None,None
14,14,14,01801e36-4f2a-019c-fc9a-1680ed023af8,14.0,STUDENT_1,ok,None,None
15,15,15,01801e36-4f2a-019c-fc9a-1680ed023af8,15.0,TEACHER,glad i can help :),None,Encouragement and affirmation
16,16,16,01801e36-4f2a-0986-e53a-42cf8c7d57e9,0.0,TEACHER,hello,None,None
17,17,17,01801e36-4f2a-0986-e53a-42cf8c7d57e9,1.0,TEACHER,what would you like help with today,None,None
