,sequence,session_id,speaker,content,Human,AI,Utterance ID
0,1,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Okay so can you guys see,,Keeping Everyone Together,0
1,2,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,1
2,3,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Yes your learning intention is you can multiply twodigit numbers by twodigit numbers,,,2
3,4,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Were building up our skills two digits by two digits and were going to use partial product strategy,,,3
4,5,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Well practice using the partitioned rectangles but then apply that practice doing partial products,,,4
5,6,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Youll be successful if you can solve twodigit by twodigit numbers and you can match your partitioned rectangles to your partial products,,,5
6,7,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Making sure that you can see how your answers should be the same,,,6
7,8,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Okay,,,7
14,9,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Youre mental math youre just doing quick extended facts,,,8
15,10,TalkBack.Year1.Benson.Fall.121019.xlsx,T,No youre not going to work and your math message is at the top of page 130 just problem one,,,9
16,11,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Theres a partitioned rectangle problem followed by a partial products problem,,,10
17,12,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Please go check your homework with a partner,Keeping Everyone Together,,11
18,13,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Get started on mental math,,,12
19,14,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Do problem one on page 130 and well get started in about eight minutes,,,13
20,15,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Go,Keeping Everyone Together,,14
21,16,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why are you just automatically changing your answer,Pressing for Reasoning,Pressing for Reasoning,15
22,17,TalkBack.Year1.Benson.Fall.121019.xlsx,T,How do you know he is right,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,16
23,18,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Talk about what steps you took to get there,Pressing for Accuracy,Pressing for Reasoning,17
24,19,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Im sorry,,,18
25,20,TalkBack.Year1.Benson.Fall.121019.xlsx,T,If you werent,,,19
26,21,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You guys should go ask someone else,,Keeping Everyone Together,20
27,22,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Youre comparing,Keeping Everyone Together,Revoicing,21
28,23,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,22
29,24,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Start again,,,23
30,25,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I have no idea what you just said,,,24
31,26,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You said what,Keeping Everyone Together,,25
32,27,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Yes but youre  Its just picking out different areas,,Revoicing,26
